address,kind,source,status,onchain_size,local_size,first_diff_byte
0x418C24191aE947A78C99fDc0e45a1f96Afb254BE,runtime,etherscan,PARTIAL_MATCH,5562,5562,5509
0x418C24191aE947A78C99fDc0e45a1f96Afb254BE,runtime,sourcify,PARTIAL_MATCH,5562,5562,5509
0x418C24191aE947A78C99fDc0e45a1f96Afb254BE,creation,etherscan,PARTIAL_MATCH,6779,6779,6726
0x418C24191aE947A78C99fDc0e45a1f96Afb254BE,creation,sourcify,PARTIAL_MATCH,6779,6779,6726
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,runtime,etherscan,IMMUTABLE_VAR_ONLY,16847,16847,5743
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,runtime,sourcify,IMMUTABLE_VAR_ONLY,16847,16847,5743
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,creation,etherscan,PARTIAL_MATCH,19401,19401,19348
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,creation,sourcify,PARTIAL_MATCH,19401,19401,19348
0xdAC17F958D2ee523a2206206994597C13D831ec7,runtime,etherscan,PARTIAL_MATCH,11075,11075,11032
0xdAC17F958D2ee523a2206206994597C13D831ec7,runtime,sourcify,PARTIAL_MATCH,11075,11075,11032
0xdAC17F958D2ee523a2206206994597C13D831ec7,creation,etherscan,PARTIAL_MATCH,11900,11644,11601
0xdAC17F958D2ee523a2206206994597C13D831ec7,creation,sourcify,PARTIAL_MATCH,11900,11644,11601
0x6B175474E89094C44Da98b954EedeAC495271d0F,runtime,etherscan,PARTIAL_MATCH,7904,7904,7852
0x6B175474E89094C44Da98b954EedeAC495271d0F,runtime,sourcify,PARTIAL_MATCH,7904,7904,7852
0x6B175474E89094C44Da98b954EedeAC495271d0F,creation,etherscan,MISSING_ONCHAIN,,,
0x6B175474E89094C44Da98b954EedeAC495271d0F,creation,sourcify,MISSING_ONCHAIN,,,
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,runtime,etherscan,PARTIAL_MATCH,12567,12567,12501
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,runtime,sourcify,PARTIAL_MATCH,12567,12567,12501
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,creation,etherscan,PARTIAL_MATCH,13427,13331,13265
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,creation,sourcify,PARTIAL_MATCH,13427,13331,13265
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,runtime,etherscan,PARTIAL_MATCH,3124,3124,3081
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,runtime,sourcify,PARTIAL_MATCH,3124,3124,3081
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,creation,etherscan,PARTIAL_MATCH,3504,3504,3461
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,creation,sourcify,PARTIAL_MATCH,3504,3504,3461
0x514910771AF9Ca656af840dff83E8264EcF986CA,runtime,etherscan,PARTIAL_MATCH,3153,3153,3110
0x514910771AF9Ca656af840dff83E8264EcF986CA,runtime,sourcify,PARTIAL_MATCH,3153,3153,3110
0x514910771AF9Ca656af840dff83E8264EcF986CA,creation,etherscan,PARTIAL_MATCH,3225,3225,3182
0x514910771AF9Ca656af840dff83E8264EcF986CA,creation,sourcify,PARTIAL_MATCH,3225,3225,3182
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,runtime,etherscan,PARTIAL_MATCH,4852,4852,4809
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,runtime,sourcify,PARTIAL_MATCH,4852,4852,4809
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,creation,etherscan,PARTIAL_MATCH,6420,6100,6057
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,creation,sourcify,PARTIAL_MATCH,6420,6100,6057
0x7645DdfEecedA57e41f92679c4aCd83c56A81D14,runtime,etherscan,PARTIAL_MATCH,4331,4331,4278
0x7645DdfEecedA57e41f92679c4aCd83c56A81D14,runtime,sourcify,PARTIAL_MATCH,4331,4331,4278
0x7645DdfEecedA57e41f92679c4aCd83c56A81D14,creation,etherscan,PARTIAL_MATCH,5383,5383,5330
0x7645DdfEecedA57e41f92679c4aCd83c56A81D14,creation,sourcify,PARTIAL_MATCH,5383,5383,5330
0xc3d688B66703497DAA19211EEdff47f25384cdc3,runtime,etherscan,FULL_MATCH,1878,1878,
0xc3d688B66703497DAA19211EEdff47f25384cdc3,runtime,sourcify,FULL_MATCH,1878,1878,
0xc3d688B66703497DAA19211EEdff47f25384cdc3,creation,etherscan,FULL_MATCH,3375,3247,
0xc3d688B66703497DAA19211EEdff47f25384cdc3,creation,sourcify,FULL_MATCH,3375,3247,
0x00000000006c3852cbEf3e08E8dF289169EdE581,runtime,etherscan,IMMUTABLE_VAR_ONLY,24446,24446,4115
0x00000000006c3852cbEf3e08E8dF289169EdE581,runtime,sourcify,IMMUTABLE_VAR_ONLY,24446,24446,4115
0x00000000006c3852cbEf3e08E8dF289169EdE581,creation,etherscan,MISSING_ONCHAIN,,,
0x00000000006c3852cbEf3e08E8dF289169EdE581,creation,sourcify,MISSING_ONCHAIN,,,
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,runtime,etherscan,PARTIAL_MATCH,680,680,627
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,runtime,sourcify,PARTIAL_MATCH,680,680,627
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,creation,etherscan,PARTIAL_KNOWN,2194,1906,1792
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,creation,sourcify,PARTIAL_KNOWN,2194,1906,1792
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,runtime,etherscan,PARTIAL_MATCH,2186,2186,2143
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,runtime,sourcify,PARTIAL_MATCH,2186,2186,2143
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,creation,etherscan,PARTIAL_MATCH,2889,2857,2814
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,creation,sourcify,PARTIAL_MATCH,2889,2857,2814
0xd0c2c9b03fc3f358e5854fdf801a7d765929cc5a,runtime,etherscan,PARTIAL_MATCH,832,832,789
0xd0c2c9b03fc3f358e5854fdf801a7d765929cc5a,runtime,sourcify,PARTIAL_MATCH,832,832,789
0xd0c2c9b03fc3f358e5854fdf801a7d765929cc5a,creation,etherscan,MISSING_ONCHAIN,,,
0xd0c2c9b03fc3f358e5854fdf801a7d765929cc5a,creation,sourcify,MISSING_ONCHAIN,,,
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,runtime,etherscan,PARTIAL_MATCH,2240,2240,2197
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,runtime,sourcify,PARTIAL_MATCH,2240,2240,2197
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,creation,etherscan,PARTIAL_KNOWN,3332,3140,3047
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,creation,sourcify,PARTIAL_KNOWN,3332,3140,3047
0xb9c499a98593fafe3b7e966719cfda9f85ffac97,runtime,etherscan,UNLINKED_LIBRARY,8176,,
0xb9c499a98593fafe3b7e966719cfda9f85ffac97,runtime,sourcify,UNLINKED_LIBRARY,8176,,
0xb9c499a98593fafe3b7e966719cfda9f85ffac97,creation,etherscan,UNLINKED_LIBRARY,27005,,
0xb9c499a98593fafe3b7e966719cfda9f85ffac97,creation,sourcify,UNLINKED_LIBRARY,27005,,
