address,kind,source,compare_status,operand_diff_bytes,opcode_diff_bytes,opcode_verdict
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,runtime,etherscan,IMMUTABLE_VAR_ONLY,149,0,EMBEDDED_CONSTANT_ONLY
0xc1ABb8c93be6811aFfC70675b0432926c4BFBb5D,runtime,sourcify,IMMUTABLE_VAR_ONLY,149,0,EMBEDDED_CONSTANT_ONLY
0x00000000006c3852cbEf3e08E8dF289169EdE581,runtime,etherscan,IMMUTABLE_VAR_ONLY,424,0,EMBEDDED_CONSTANT_ONLY
0x00000000006c3852cbEf3e08E8dF289169EdE581,runtime,sourcify,IMMUTABLE_VAR_ONLY,424,0,EMBEDDED_CONSTANT_ONLY
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,creation,etherscan,PARTIAL_KNOWN,133,187,REAL_CODEGEN_DIFFERENCE
0xA7AeFeaD2F25972D80516628417ac46b3F2604Af,creation,sourcify,PARTIAL_KNOWN,133,187,REAL_CODEGEN_DIFFERENCE
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,creation,etherscan,PARTIAL_KNOWN,106,118,REAL_CODEGEN_DIFFERENCE
0xe8dec1642714036dc8e4f5baad01b5d7a39f4ea9,creation,sourcify,PARTIAL_KNOWN,106,118,REAL_CODEGEN_DIFFERENCE
0x3eee7fe99640c47abf43cd2c2b6a80eb785e38cf,runtime,etherscan,IMMUTABLE_VAR_ONLY,160,0,EMBEDDED_CONSTANT_ONLY
0x40cdba18bfbc525a6cf35251e7d90a9b5b66ce30,runtime,etherscan,IMMUTABLE_VAR_ONLY,297,0,EMBEDDED_CONSTANT_ONLY
0x40cdba18bfbc525a6cf35251e7d90a9b5b66ce30,runtime,sourcify,IMMUTABLE_VAR_ONLY,297,0,EMBEDDED_CONSTANT_ONLY
0x2a4e3a514a0b8d6096f208de0cd645547fb73bea,creation,etherscan,TRAILING_DATA_ONLY,75,85,REAL_CODEGEN_DIFFERENCE
0x2a4e3a514a0b8d6096f208de0cd645547fb73bea,creation,sourcify,TRAILING_DATA_ONLY,75,85,REAL_CODEGEN_DIFFERENCE
